Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Ajay Kumar,KHERI,BJP, 2 ,Graduate Professional,26505977,10000000,2014
Karia Munda,KHUNTI,BJP,0,Post Graduate,7474796,0,2014
Mohammad Asrarul Haque,KISHANGANJ,INC, 2 ,Post Graduate,4616629,0,2014
Ravindra Kumar Ray,KODARMA,BJP,0,Doctorate,10564046,200000,2014
Naba Kumar Sarania,KOKRAJHAR,IND, 3 ,12th Pass,2155559,0,2014
K H Muniyappa,KOLAR,INC,0,Graduate Professional,184663000,27863000,2014
Dhananjay Bhimrao Mahadik,KOLHAPUR,NCP, 1 ,Graduate,448882000,71333000,2014
Subrata Bakshi,KOLKATA DAKSHIN ,AITC,0,Graduate Professional,10265428,168891,2014
Sudip Bandyopadhyay,KOLKATA UTTAR,AITC, 1 ,Graduate,22086278,450000,2014
N.k.premachandran,KOLLAM,RSP, 1 ,Graduate Professional,16228989,3114638,2014
Sanganna A. Karadi,KOPPAL,BJP, 1 ,10th Pass,12127000,6848000,2014
Jhina Hikaka,KORAPUT,BJD,0,Post Graduate,8800000,0,2014
Dr. Banshilal Mahato,KORBA,BJP,0,Graduate Professional,72303762,382905,2014
Om Birla,KOTA,BJP, 2 ,Post Graduate,25870497,997366,2014
Jose K Mani,KOTTAYAM,KC(M),0,Post Graduate,26236371,0,2014
M .k Raghavan,KOZHIKODE,INC,0,Graduate,6164901,1558128,2014
Ashok Kumar.k,KRISHNAGIRI,AIADMK, 3 ,10th Pass,1176436,0,2014
Tapas Paul,KRISHNANAGAR,AITC, 4 ,Graduate,27829669,0,2014
Butta Renuka,KURNOOL,Yuvajana Sramika Rythu Congress Party, 1 ,10th Pass,2426240513,312279927,2014
Rajkumar Saini,KURUKSHETRA,BJP,0,Graduate,132880476,23262108,2014
Rajesh Pandey Urf Guddu,KUSHI NAGAR,BJP,0,Graduate,110407014,1107357,2014
Thupstan Chhewang,LADAKH,BJP,0,Graduate Professional,19852701,80000,2014
Sarbananda Sonowal,LAKHIMPUR,BJP,0,Graduate Professional,14497515,0,2014
Mohammed Faizal.p.p,LAKSHADWEEP,NCP, 3 ,Post Graduate,538119,0,2014
Neelam,LALGANJ,BJP, 1 ,Post Graduate,33863562,2631312,2014
