Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
DR. P. POOKUNHIKOYA,Lakshadweep,JD(U),0,Graduate Professional,3945099,103145,2004
DAROGA PRASAD SAROJ,Lalganj,SP, 1 ,Graduate,614485,130918,2004
PATIL RUPATAI DILIPRAO NILANGEKAR,Latur,BJP,0,10th Pass,1960659,5585583,2004
RAMESHWAR ORAON,Lohardaga,INC,0,Doctorate,9238423,364452,2004
ATAL BIHARI VAJPAYEE,Lucknow,BJP,0,Post Graduate,5899232,0,2004
SHARANJIT SINGH DHILLON,Ludhiana,SAD, 1 ,Graduate Professional,9842137,1176489,2004
UMAKANT YADAV,Machhlishahr,BSP, 8 ,Post Graduate,28462566,0,2004
BADIGA RAMAKRISHNA,Machilipatnam,INC,0,12th Pass,138545000,11559000,2004
LALU PRASAD,Madhepura,RJD, 7 ,Graduate Professional,8768340,22041400,2004
DR. SHAKEEL AHMAD,Madhubani,INC,0,Graduate Professional,1859000,300000,2004
DAYANIDHI MARAN,Madras Central,DMK,0,Graduate,14420628,0,2004
KUPPUSAMI. C,Madras North,DMK, 1 ,12th Pass,9537668,156696,2004
"BAALU, T. R.",Madras South,DMK,0,Graduate,27444755,0,2004
D. VITTAL RAO,Mahabubnagar,INC,0,Graduate,65075830,3000000,2004
PRABHUNATH SINGH,Maharajganj,JD(U), 11 ,12th Pass,3296840,530175,2004
PANKAJ,Maharajganj,BJP,0,12th Pass,14174401,473788,2004
AJIT  JOGI,Mahasamund,INC, 2 ,Graduate Professional,8835009,0,2004
INDERJIT SINGH,Mahendragarh,INC,0,Graduate Professional,55105874,1108417,2004
